doc_name,cat_ratings,specialty
Dr. Richard Reish,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. David B. Samadi,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Philippa J. Cheetham,"4Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Lawrence Silverberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Clarel Antoine,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge",Gynecologist (OBGYN)
Dr. Emmanuel O. Asare,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,2Helpfulness,3Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,4Staff,5Punctuality,3Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Brett S. Kotlus,"2Staff,5Punctuality,2Helpfulness,3Knowledge,3Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Matthew A. Lederman,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Reproductive Endocrinologist
Dr. Richard Reish,"5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,2Punctuality,1Helpfulness,2Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. David B. Samadi,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Lawrence Silverberg,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,4Knowledge,3Staff,3Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Philippa J. Cheetham,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Jeffrey A. Goldstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,1Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge",Orthopedic Surgeon
Dr. Joshua B. Bederson,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Neurosurgeon
Dr. Boris Abayev,"2Staff,5Punctuality,3Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
Dr. Howard Sobel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Dermatologist
Dr. Darrick E. Antell,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,4Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Sean E. McCance,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,1Helpfulness,4Knowledge,1Staff,3Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,3Knowledge",Orthopedic Surgeon
Dr. Leon Kavaler,"4Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,2Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Gastroenterologist
Dr. Jeffrey A. Goldstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
Dr. Joshua B. Bederson,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,3Punctuality,5Helpfulness,5Knowledge",Neurosurgeon
Dr. Boris Abayev,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
Dr. Howard Sobel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Dermatologist
Dr. Sean E. McCance,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,2Staff,3Punctuality,1Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
Dr. Darrick E. Antell,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Leon Kavaler,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Gastroenterologist
Dr. Jeffrey A. Goldstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
Dr. Joshua B. Bederson,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Neurosurgeon
Dr. Howard Sobel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,1Punctuality,2Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Dermatologist
Dr. Boris Abayev,"3Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,4Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
Dr. Sean E. McCance,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,1Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,4Knowledge",Orthopedic Surgeon
Dr. Darrick E. Antell,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Joshua B. Bederson,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Neurosurgeon
Dr. Leon Kavaler,"5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Gastroenterologist
Dr. Boris Abayev,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge",Orthopedic Surgeon
Dr. Jeffrey A. Goldstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
Dr. Howard Sobel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Dermatologist
Dr. Darrick E. Antell,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Michael L. Traub,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Reproductive Endocrinologist
Dr. Jeffrey A. Ascherman,"5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Daniel F. Roses,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Surgeon (general)
Dr. Douglas C. Schottenstein,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Pain Management Specialist / Physical Therapist
Dr. Thomas W. Loeb,"5Staff,5Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Natan Schleider,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Family Doctor / G.P.
Dr. Thomas W. Loeb,"5Staff,5Punctuality,3Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Trevor Born,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,5Punctuality,1Helpfulness,1Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Emmanuel O. Asare,"5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Sean E. McCance,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Orthopedic Surgeon
